gid0,species_pct,species_included,cumarea,totparea,cmbparea,totarea,parea_pct,bname,cname,tcmbparea,cname0,unregion2,wbincomegroup
AGO,75,78,30586.2316891917,147498.985421561,178085.217110753,1246594.83885415,14.2857335487163,Angola_AGO,Angola,178085.217110753,Angola,Africa,Lower middle income
AGO,80,83,31930.6485266317,147498.985421561,179429.633948193,1246594.83885415,14.3935806852146,Angola_AGO,Angola,179429.633948193,Angola,Africa,Lower middle income
AGO,85,88,33233.1623088952,147498.985421561,180732.147730456,1246594.83885415,14.4980664204083,Angola_AGO,Angola,180732.147730456,Angola,Africa,Lower middle income
AGO,90,93,33588.8577505392,147498.985421561,181087.8431721,1246594.83885415,14.5265997843015,Angola_AGO,Angola,181087.8431721,Angola,Africa,Lower middle income
AGO,95,98,34621.8539943648,147498.985421561,182120.839415926,1246594.83885415,14.6094652199369,Angola_AGO,Angola,182120.839415926,Angola,Africa,Lower middle income
AGO,100,103,36300.9678481222,147498.985421561,183799.953269683,1246594.83885415,14.7441612576087,Angola_AGO,Angola,183799.953269683,Angola,Africa,Lower middle income
ALB,0,0,0,6457.4661433396,6457.4661433396,28597.6735101762,22.5803897685655,Albania_ALB,Albania,6457.4661433396,Albania,Europe,Upper middle income
ALB,5,1,8.07603600073937,6457.4661433396,6465.54217934034,28597.6735101762,22.6086299539004,Albania_ALB,Albania,6465.54217934034,Albania,Europe,Upper middle income
ALB,10,1,16.1520720014787,6457.4661433396,6473.61821534108,28597.6735101762,22.6368701392353,Albania_ALB,Albania,6473.61821534108,Albania,Europe,Upper middle income
ALB,15,2,24.2289955676356,6457.4661433396,6481.69513890724,28597.6735101762,22.6651134281983,Albania_ALB,Albania,6481.69513890724,Albania,Europe,Upper middle income
ALB,20,2,32.3112445262977,6457.4661433396,6489.7773878659,28597.6735101762,22.6933753389295,Albania_ALB,Albania,6489.7773878659,Albania,Europe,Upper middle income
ALB,25,2,40.3934934849597,6457.4661433396,6497.85963682456,28597.6735101762,22.7216372496608,Albania_ALB,Albania,6497.85963682456,Albania,Europe,Upper middle income
ALB,30,3,48.4597027976749,6457.4661433396,6505.92584613728,28597.6735101762,22.7498430731514,Albania_ALB,Albania,6505.92584613728,Albania,Europe,Upper middle income
ALB,35,3,56.4858129955231,6457.4661433396,6513.95195633512,28597.6735101762,22.7779086785406,Albania_ALB,Albania,6513.95195633512,Albania,Europe,Upper middle income
ALB,40,3,64.5119231933712,6457.4661433396,6521.97806653297,28597.6735101762,22.8059742839297,Albania_ALB,Albania,6521.97806653297,Albania,Europe,Upper middle income
ALB,45,4,72.5885736860275,6457.4661433396,6530.05471702563,28597.6735101762,22.8342166180126,Albania_ALB,Albania,6530.05471702563,Albania,Europe,Upper middle income
ALB,50,4,80.7326112384281,6457.4661433396,6538.19875457803,28597.6735101762,22.8626945903536,Albania_ALB,Albania,6538.19875457803,Albania,Europe,Upper middle income
ALB,55,4,88.8766487908287,6457.4661433396,6546.34279213043,28597.6735101762,22.8911725626946,Albania_ALB,Albania,6546.34279213043,Albania,Europe,Upper middle income
ALB,60,5,94.7311410146344,6457.4661433396,6552.19728435424,28597.6735101762,22.9116444805299,Albania_ALB,Albania,6552.19728435424,Albania,Europe,Upper middle income
ALB,65,5,98.8684742419939,6457.4661433396,6556.33461758159,28597.6735101762,22.9261118574858,Albania_ALB,Albania,6556.33461758159,Albania,Europe,Upper middle income
ALB,70,5,103.005807469353,6457.4661433396,6560.47195080895,28597.6735101762,22.9405792344418,Albania_ALB,Albania,6560.47195080895,Albania,Europe,Upper middle income
ALB,75,6,109.858580901005,6457.4661433396,6567.32472424061,28597.6735101762,22.964541929971,Albania_ALB,Albania,6567.32472424061,Albania,Europe,Upper middle income
ALB,80,6,117.797530414373,6457.4661433396,6575.26367375397,28597.6735101762,22.9923027529293,Albania_ALB,Albania,6575.26367375397,Albania,Europe,Upper middle income
